date,open,close,high,low,volume
2025-01-02,2.73,2.68,2.78,2.65,348559.0
2025-01-03,2.68,2.53,2.7,2.52,363851.51
2025-01-06,2.52,2.52,2.54,2.43,224531.0
2025-01-07,2.52,2.62,2.62,2.51,286366.5
2025-01-08,2.6,2.65,2.67,2.52,390739.0
2025-01-09,2.63,2.63,2.67,2.61,180440.0
2025-01-10,2.64,2.53,2.66,2.53,237304.0
2025-01-13,2.51,2.5,2.51,2.41,226456.5
2025-01-14,2.51,2.62,2.62,2.49,252195.0
2025-01-15,2.62,2.6,2.64,2.57,201485.5
2025-01-16,2.63,2.62,2.67,2.59,201720.0
2025-01-17,2.61,2.59,2.62,2.57,151080.0
2025-01-20,2.6,2.59,2.63,2.56,174745.5
2025-01-21,2.63,2.58,2.66,2.56,264414.01
2025-01-22,2.56,2.55,2.57,2.54,130307.0
2025-01-23,2.57,2.57,2.66,2.57,251918.0
2025-01-24,2.55,2.53,2.56,2.53,272125.0
2025-01-27,2.54,2.47,2.56,2.45,252089.54
2025-02-05,2.5,2.54,2.55,2.47,191899.54
2025-02-06,2.53,2.62,2.62,2.51,251653.09
2025-02-07,2.63,2.67,2.69,2.6,282793.67
2025-02-10,2.68,2.7,2.7,2.66,215629.88
2025-02-11,2.7,2.65,2.71,2.62,196249.45
2025-02-12,2.64,2.65,2.67,2.61,187983.5
2025-02-13,2.65,2.62,2.66,2.6,222741.5
2025-02-14,2.61,2.55,2.63,2.54,269853.0
2025-02-17,2.55,2.64,2.67,2.55,323290.77
2025-02-18,2.65,2.56,2.65,2.56,227713.0
2025-02-19,2.58,2.61,2.62,2.57,194562.0
2025-02-20,2.61,2.63,2.64,2.58,202907.69
2025-02-21,2.64,2.63,2.64,2.59,233447.0
2025-02-24,2.64,2.67,2.69,2.61,329953.55
2025-02-25,2.66,2.63,2.67,2.62,229973.0
2025-02-26,2.64,2.75,2.75,2.62,520258.03
2025-02-27,2.77,2.69,2.78,2.65,397995.5
2025-02-28,2.7,2.68,2.79,2.64,583138.99
2025-03-03,2.69,2.61,2.7,2.59,427984.66
2025-03-04,2.58,2.66,2.66,2.58,260208.66
2025-03-05,2.69,2.64,2.69,2.58,254372.0
2025-03-06,2.64,2.7,2.71,2.62,414577.55
2025-03-07,2.69,2.66,2.7,2.64,282789.99
2025-03-10,2.67,2.67,2.7,2.65,193914.5
2025-03-11,2.63,2.68,2.68,2.62,166355.85
2025-03-12,2.68,2.7,2.73,2.66,321637.06
2025-03-13,2.7,2.66,2.7,2.62,251439.55
2025-03-14,2.66,2.71,2.72,2.63,315672.5
2025-03-17,2.72,2.8,2.92,2.72,566634.55
2025-03-18,2.81,2.81,2.83,2.78,334424.05
2025-03-19,2.83,2.79,2.83,2.76,257272.0
2025-03-20,2.79,2.82,2.84,2.78,281495.63
2025-03-21,2.8,2.84,2.89,2.79,542986.02
2025-03-24,2.87,2.77,2.91,2.71,502490.0
2025-03-25,2.76,2.85,2.99,2.75,813420.5
2025-03-26,2.81,2.9,2.95,2.79,674910.5
2025-03-27,2.88,2.81,2.91,2.79,475763.5
2025-03-28,2.81,2.75,2.83,2.75,325714.5
2025-03-31,2.73,2.72,2.76,2.66,327526.5
2025-04-01,2.74,2.76,2.8,2.72,320026.0
2025-04-02,2.79,3.04,3.04,2.73,1577278.31
2025-04-03,3.2,3.34,3.34,3.16,949561.32
2025-04-07,3.01,3.22,3.54,3.01,3318827.24
2025-04-08,3.22,3.07,3.29,2.9,2384874.77
2025-04-09,3.03,3.09,3.2,2.76,2232508.14
2025-04-10,3.04,3.06,3.22,3.04,1825463.0
2025-04-11,3.04,2.99,3.12,2.98,1151902.03
2025-04-14,3.01,3.29,3.29,2.99,553139.66
2025-04-15,3.55,3.39,3.55,3.25,2849826.02
2025-04-16,3.3,3.16,3.44,3.14,1763878.58
2025-04-17,3.15,3.19,3.28,3.11,1364819.66
2025-04-18,3.16,2.99,3.17,2.98,1309128.54
2025-04-21,3.0,3.04,3.04,2.92,902370.12
2025-04-22,3.02,2.93,3.05,2.92,826878.5
2025-04-23,2.93,2.95,2.97,2.92,617572.58
2025-04-24,2.95,2.85,2.95,2.83,744681.05
2025-04-25,2.84,2.85,2.89,2.82,505093.56
2025-04-28,2.87,2.72,2.91,2.71,876179.38
2025-04-29,2.7,2.7,2.75,2.65,406661.0
2025-04-30,2.83,2.97,2.97,2.82,425889.55
2025-05-06,3.27,3.27,3.27,3.27,168243.5
2025-05-07,3.6,3.6,3.6,3.6,366020.51
2025-05-08,3.91,3.96,3.96,3.8,2073052.3
2025-05-09,4.2,3.77,4.36,3.77,5562858.99
2025-05-12,3.77,4.15,4.15,3.77,2313159.38
2025-05-13,4.37,4.2,4.57,4.05,5272358.84
2025-05-14,4.06,3.94,4.2,3.86,4052472.22
2025-05-15,3.86,3.59,3.94,3.56,3126624.35
2025-05-16,3.62,3.95,3.95,3.62,1640078.48
2025-05-19,3.99,4.35,4.35,3.85,5433804.83
2025-05-20,4.35,4.12,4.48,4.08,4584173.88
2025-05-21,4.02,3.89,4.08,3.87,2622338.71
2025-05-22,3.95,4.28,4.28,3.95,1753395.02
2025-05-23,4.65,4.71,4.71,4.52,2308791.1
2025-05-26,4.99,5.18,5.18,4.91,5458269.1
2025-05-27,5.36,5.7,5.7,5.36,3909369.31
2025-05-28,5.75,5.51,6.03,5.31,6762588.03
2025-05-29,5.54,6.06,6.06,5.53,4996247.02
2025-05-30,5.88,5.45,5.88,5.45,4867739.22
2025-06-03,5.45,5.53,5.87,5.17,4902104.62
2025-06-04,5.65,5.57,5.88,5.4,4491452.3
2025-06-05,5.43,5.76,6.1,5.36,5113684.5
2025-06-06,5.6,5.67,5.92,5.43,4140126.31
2025-06-09,5.7,6.24,6.24,5.54,5582370.43
2025-06-10,6.13,6.28,6.82,6.01,6158662.87
2025-06-11,6.22,5.65,6.26,5.65,4663232.68
2025-06-12,5.46,5.59,5.86,5.25,3525512.76
2025-06-13,5.41,5.23,5.5,5.15,2997233.55
2025-06-16,5.14,5.16,5.3,4.96,2114546.81
2025-06-17,5.2,5.04,5.21,5.0,1966057.64
2025-06-18,5.18,5.54,5.54,5.18,2956235.42
2025-06-19,5.54,5.08,5.6,5.08,3572664.13
2025-06-20,4.93,4.77,4.98,4.66,2470364.22
2025-06-23,4.62,4.87,4.96,4.56,1938837.27
2025-06-24,4.87,5.0,5.1,4.75,2362143.14
2025-06-25,4.97,4.87,5.02,4.82,1736530.69
2025-06-26,4.8,4.76,4.89,4.76,1474282.16
2025-06-27,4.73,4.71,4.79,4.66,1163793.71
2025-06-30,4.73,4.85,4.89,4.73,1558262.14
2025-07-01,4.98,4.9,5.13,4.88,2224587.39
2025-07-02,4.84,4.97,5.07,4.8,2009798.98
2025-07-03,4.9,4.78,4.9,4.75,1463842.48
