date,open,close,high,low,volume
2025-01-02,4.31,4.32,4.5,4.27,267499.57
2025-01-03,4.28,4.23,4.36,4.15,226592.75
2025-01-06,4.19,3.98,4.22,3.95,203997.28
2025-01-07,4.0,4.05,4.09,3.94,151279.92
2025-01-08,4.06,4.05,4.12,3.92,167877.91
2025-01-09,4.05,4.12,4.22,3.97,156753.96
2025-01-10,4.12,3.91,4.19,3.9,160460.0
2025-01-13,3.88,3.85,3.91,3.76,118244.96
2025-01-14,3.89,4.03,4.03,3.87,137353.78
2025-01-15,4.02,4.04,4.07,3.98,106239.0
2025-01-16,4.06,4.12,4.27,4.05,167774.82
2025-01-17,4.13,4.04,4.15,4.01,109839.0
2025-01-20,4.06,4.11,4.14,4.0,114848.28
2025-01-21,4.11,4.09,4.16,4.05,72207.0
2025-01-22,4.1,4.02,4.12,4.0,69752.0
2025-01-23,4.06,4.01,4.13,4.01,79279.0
2025-01-24,4.01,4.01,4.03,3.98,67804.0
2025-01-27,4.02,4.02,4.17,4.02,108462.0
2025-02-05,4.05,4.05,4.06,4.0,77234.0
2025-02-06,4.04,4.14,4.15,4.01,98535.0
2025-02-07,4.13,4.14,4.19,4.08,110696.0
2025-02-10,4.15,4.24,4.24,4.14,104404.0
2025-02-11,4.23,4.22,4.28,4.16,80576.43
2025-02-12,4.22,4.24,4.25,4.17,75979.2
2025-02-13,4.24,4.28,4.33,4.22,127970.99
2025-02-14,4.29,4.2,4.29,4.18,101168.0
2025-02-17,4.2,4.31,4.31,4.17,128233.42
2025-02-18,4.31,4.16,4.33,4.14,108510.0
2025-02-19,4.16,4.2,4.2,4.13,89279.0
2025-02-20,4.2,4.29,4.31,4.17,110503.89
2025-02-21,4.27,4.24,4.29,4.16,103424.0
2025-02-24,4.39,4.66,4.66,4.37,111331.42
2025-02-25,4.82,4.89,5.09,4.66,635125.8
2025-02-26,4.71,4.81,4.82,4.64,337267.15
2025-02-27,4.75,4.86,5.05,4.75,319613.87
2025-02-28,4.82,4.6,4.85,4.6,224816.78
2025-03-03,4.64,4.55,4.68,4.53,169441.3
2025-03-04,4.61,4.74,4.79,4.58,197834.82
2025-03-05,4.78,4.76,4.84,4.67,171288.33
2025-03-06,4.75,4.75,4.77,4.68,153376.49
2025-03-07,4.75,4.63,4.75,4.62,127353.02
2025-03-10,4.64,4.66,4.7,4.62,85941.73
2025-03-11,4.67,4.77,4.8,4.62,180202.04
2025-03-12,4.76,4.78,4.85,4.71,152427.55
2025-03-13,4.82,4.81,4.87,4.7,137618.55
2025-03-14,4.81,4.96,4.99,4.78,253899.79
2025-03-17,5.14,5.0,5.41,4.99,350051.39
2025-03-18,5.03,4.97,5.04,4.9,163558.69
2025-03-19,4.94,4.95,5.04,4.88,121850.24
2025-03-20,4.96,4.87,5.02,4.86,123974.92
2025-03-21,4.87,4.98,5.01,4.83,194065.53
2025-03-24,4.94,5.03,5.26,4.92,309007.34
2025-03-25,5.04,4.99,5.06,4.89,145197.54
2025-03-26,5.04,5.49,5.49,5.03,242852.86
2025-03-27,5.49,5.64,5.96,5.35,641902.16
2025-03-28,5.53,5.71,5.94,5.53,496124.72
2025-03-31,5.9,6.28,6.28,5.85,292102.08
2025-04-01,6.28,5.8,6.28,5.66,641013.73
2025-04-02,5.66,5.29,5.66,5.24,439769.9
2025-04-03,5.24,5.36,5.43,5.24,354558.82
2025-04-07,5.66,5.89,5.89,5.64,788082.15
2025-04-08,5.86,6.48,6.48,5.56,1002394.91
2025-04-09,6.51,6.69,7.04,6.12,1017928.3
2025-04-10,6.03,6.59,6.8,6.03,781052.14
2025-04-11,6.35,6.03,6.36,6.02,559768.54
2025-04-14,5.77,6.24,6.3,5.77,500966.14
2025-04-15,6.21,6.04,6.23,5.97,337209.02
2025-04-16,5.96,5.95,6.08,5.75,324843.23
2025-04-17,5.95,6.23,6.24,5.82,451655.38
2025-04-18,6.1,5.92,6.13,5.83,359628.61
2025-04-21,5.66,5.44,5.74,5.33,456661.29
2025-04-22,5.44,5.57,5.63,5.23,414504.3
2025-04-23,5.46,5.31,5.49,5.31,249032.02
2025-04-24,5.32,5.19,5.33,5.18,187114.01
2025-04-25,5.22,5.2,5.24,5.16,131332.0
2025-04-28,5.22,5.04,5.24,5.03,167397.0
2025-04-29,5.06,5.07,5.11,5.01,115583.08
2025-04-30,5.08,5.09,5.22,5.08,121018.2
2025-05-06,5.12,5.23,5.29,5.12,207082.74
2025-05-07,5.26,5.26,5.32,5.2,150402.51
2025-05-08,5.26,5.35,5.39,5.18,194306.32
2025-05-09,5.35,5.29,5.36,5.25,102496.21
2025-05-12,5.29,5.24,5.3,5.18,120100.7
2025-05-13,5.25,5.19,5.34,5.18,118776.1
2025-05-14,5.2,5.19,5.21,5.15,91385.0
2025-05-15,5.19,5.08,5.23,5.03,190304.1
2025-05-16,5.06,5.12,5.14,5.01,116123.6
2025-05-19,5.14,5.19,5.2,5.1,95441.1
2025-05-20,5.21,5.28,5.3,5.19,141441.0
2025-05-21,5.29,5.2,5.3,5.18,95157.0
2025-05-22,5.17,5.1,5.22,5.06,110298.0
2025-05-23,5.08,5.0,5.12,5.0,105535.9
2025-05-26,5.0,5.07,5.09,4.96,83105.0
2025-05-27,5.05,5.14,5.22,5.05,107549.88
2025-05-28,5.14,5.08,5.14,5.04,82079.0
2025-05-29,5.07,5.1,5.11,5.01,76568.0
2025-05-30,5.1,5.05,5.16,5.04,135696.0
2025-06-03,5.05,5.13,5.14,4.99,128052.1
2025-06-04,5.13,5.15,5.16,5.05,109162.69
2025-06-05,5.15,5.07,5.17,5.05,109426.0
2025-06-06,5.06,5.08,5.09,5.03,65501.0
2025-06-09,5.07,5.14,5.14,5.06,100024.0
2025-06-10,5.12,5.13,5.17,5.02,121141.0
2025-06-11,5.1,5.2,5.24,5.07,167471.3
2025-06-12,5.19,5.1,5.19,5.05,155649.08
2025-06-13,5.08,5.0,5.09,4.97,158517.3
2025-06-16,4.99,5.01,5.03,4.97,71420.3
2025-06-17,5.02,5.0,5.08,4.98,74087.0
2025-06-18,4.98,4.89,4.99,4.89,100148.5
2025-06-19,4.87,4.78,4.92,4.76,101573.3
2025-06-20,4.77,4.75,4.82,4.75,63391.0
2025-06-23,4.75,4.83,4.85,4.7,64911.83
2025-06-24,4.84,4.93,4.98,4.82,89160.02
2025-06-25,4.93,4.98,5.15,4.89,161000.02
2025-06-26,4.98,4.91,4.99,4.9,100442.8
2025-06-27,4.9,4.92,5.0,4.89,98215.0
2025-06-30,4.94,4.92,4.94,4.9,72422.0
2025-07-01,4.92,4.9,4.93,4.87,61966.0
2025-07-02,4.9,4.94,4.95,4.87,77767.01
2025-07-03,4.94,4.97,4.99,4.94,83730.0
2025-07-04,4.97,4.94,4.97,4.91,64387.07
2025-07-07,4.94,4.98,4.98,4.91,67764.3
2025-07-08,5.0,5.01,5.01,4.96,95342.6
2025-07-09,5.01,4.99,5.03,4.97,68932.0
2025-07-10,5.03,5.07,5.12,5.0,134855.0
2025-07-11,5.07,5.05,5.09,5.01,95776.56
2025-07-14,5.05,5.07,5.09,5.02,81545.0
2025-07-15,5.07,4.96,5.08,4.93,108250.0
2025-07-16,4.96,5.01,5.03,4.95,72969.0
2025-07-17,5.04,5.03,5.06,4.98,73202.0
2025-07-18,5.04,5.02,5.04,4.99,48322.0
2025-07-21,5.03,5.09,5.11,5.0,121713.0
2025-07-22,5.07,5.19,5.19,5.07,158493.97
2025-07-23,5.21,5.2,5.27,5.15,152655.0
2025-07-24,5.21,5.24,5.24,5.15,129786.89
2025-07-25,5.25,5.21,5.27,5.19,78167.16
2025-07-28,5.26,5.33,5.35,5.23,183361.54
2025-07-29,5.4,5.22,5.44,5.17,198192.11
2025-07-30,5.18,5.26,5.27,5.15,118072.89
2025-07-31,5.28,5.2,5.28,5.2,88134.98
2025-08-01,5.2,5.22,5.26,5.18,68206.2
2025-08-04,5.21,5.2,5.25,5.16,65307.91
2025-08-05,5.18,5.23,5.25,5.18,72236.0
2025-08-06,5.22,5.26,5.26,5.17,87690.02
2025-08-07,5.27,5.29,5.32,5.24,102973.5
2025-08-08,5.27,5.25,5.32,5.2,74854.0
2025-08-11,5.27,5.26,5.3,5.23,114391.76
2025-08-12,5.26,5.18,5.29,5.17,108189.12
2025-08-13,5.19,5.17,5.23,5.12,111467.01
2025-08-14,5.18,5.09,5.21,5.09,136904.17
2025-08-15,5.1,5.12,5.13,5.07,92173.3
2025-08-18,5.13,5.13,5.2,5.1,124073.3
2025-08-19,5.14,5.17,5.18,5.12,109332.05
2025-08-20,5.16,5.25,5.26,5.13,133193.05
2025-08-21,5.26,5.28,5.29,5.21,120064.13
2025-08-22,5.28,5.23,5.29,5.16,114486.55
2025-08-25,5.26,5.27,5.28,5.2,131298.85
2025-08-26,5.27,5.35,5.42,5.25,173140.14
2025-08-27,5.36,5.3,5.38,5.28,164120.36
2025-08-28,5.27,5.2,5.35,5.08,151239.96
2025-08-29,5.22,5.2,5.28,5.19,88625.72
2025-09-01,5.21,5.17,5.24,5.15,103299.72
2025-09-02,5.2,5.25,5.26,5.13,124175.01
2025-09-03,5.25,5.07,5.26,5.07,121814.0
2025-09-04,5.1,5.21,5.24,5.05,146242.91
2025-09-05,5.2,5.16,5.2,5.05,138819.92
2025-09-08,5.18,5.22,5.29,5.16,150379.3
2025-09-09,5.22,5.17,5.25,5.15,94974.0
2025-09-10,5.16,5.24,5.25,5.14,105326.54
2025-09-11,5.23,5.3,5.3,5.2,150927.9
2025-09-12,5.28,5.29,5.32,5.25,102944.0
2025-09-15,5.39,5.32,5.47,5.27,183593.61
2025-09-16,5.31,5.34,5.34,5.24,150609.91
2025-09-17,5.33,5.26,5.37,5.24,118790.01
2025-09-18,5.24,5.1,5.25,5.06,154868.0
2025-09-19,5.1,5.05,5.14,5.02,106570.0
2025-09-22,5.02,4.93,5.05,4.91,99198.49
2025-09-23,4.94,4.89,4.95,4.76,122095.49
2025-09-24,4.87,4.89,4.93,4.83,93441.45
2025-09-25,4.9,4.81,4.9,4.8,72839.3
2025-09-26,4.8,4.83,4.88,4.78,86131.77
2025-09-29,4.83,4.83,4.84,4.72,65744.16
2025-09-30,4.83,4.81,4.84,4.8,45267.22
2025-10-09,4.81,4.87,4.87,4.77,67646.0
2025-10-10,4.87,4.91,4.94,4.83,85394.0
2025-10-13,4.91,4.91,4.97,4.87,111709.62
2025-10-14,4.9,4.92,4.94,4.88,78645.72
2025-10-15,4.94,4.99,4.99,4.9,87914.35
2025-10-16,4.99,4.92,4.99,4.9,57818.0
2025-10-17,4.94,4.94,4.99,4.92,90657.13
2025-10-20,4.94,4.93,4.95,4.87,69055.23
2025-10-21,4.94,5.02,5.03,4.9,90809.95
2025-10-22,5.02,5.05,5.09,5.0,94090.61
2025-10-23,5.05,5.1,5.1,5.03,80108.69
2025-10-24,5.1,5.05,5.12,5.04,75659.0
2025-10-27,5.08,5.05,5.11,5.0,76506.62
2025-10-28,5.07,5.14,5.22,5.07,128597.58
2025-10-29,5.11,5.08,5.13,5.04,83648.0
2025-10-30,5.08,5.07,5.11,5.05,56291.0
2025-10-31,5.06,5.09,5.1,5.05,66472.28
2025-11-03,5.1,5.12,5.14,5.08,65200.0
2025-11-04,5.14,5.24,5.28,5.1,157623.87
2025-11-05,5.24,5.32,5.33,5.21,144991.95
2025-11-06,5.28,5.3,5.32,5.25,95107.3
2025-11-07,5.29,5.31,5.36,5.25,82092.0
2025-11-10,5.37,5.43,5.44,5.32,144779.09
2025-11-11,5.43,5.86,5.97,5.39,443606.56
2025-11-12,5.86,5.7,5.89,5.67,384862.92
2025-11-13,5.71,5.76,5.8,5.61,198839.3
2025-11-14,5.81,5.75,6.07,5.75,215901.9
2025-11-17,5.8,5.89,6.0,5.76,210513.0
2025-11-18,5.86,5.77,5.88,5.64,173900.86
2025-11-19,5.78,5.86,6.12,5.7,321833.0
2025-11-20,6.45,6.06,6.45,5.92,654651.13
2025-11-21,5.7,5.76,5.95,5.65,484304.52
2025-11-24,5.81,5.71,5.92,5.68,261255.68
2025-11-25,5.81,5.86,5.91,5.59,295416.01
2025-11-26,5.8,5.93,6.15,5.63,332055.05
2025-11-27,5.93,5.74,5.99,5.73,229795.7
2025-11-28,5.75,5.87,5.88,5.65,173300.02
2025-12-01,5.84,5.82,5.86,5.77,117624.16
2025-12-02,5.98,5.91,6.0,5.75,187852.0
2025-12-03,5.96,6.02,6.13,5.91,263842.48
2025-12-04,5.96,5.71,6.06,5.71,256241.04
2025-12-05,5.77,5.7,5.8,5.62,166050.28
2025-12-08,5.71,5.66,5.75,5.52,158568.0
2025-12-09,5.66,5.64,5.7,5.52,128942.0
2025-12-10,5.64,5.59,5.78,5.56,116780.55
2025-12-11,5.54,5.45,5.59,5.4,127381.62
2025-12-12,5.44,5.32,5.47,5.31,120142.0
2025-12-15,5.32,5.4,5.45,5.25,141755.09
2025-12-16,5.4,5.38,5.58,5.35,126173.99
2025-12-17,5.51,5.43,5.51,5.31,145844.6
2025-12-18,5.43,5.53,5.64,5.42,158065.26
2025-12-19,5.52,5.7,5.72,5.48,164193.28
